@relation normalized_sea-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute '# x1' numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute class {0,1}

@data

0.667726,0.515215,0.298234,0
0.987445,0.881787,0.478621,1
0.711872,0.299051,0.196426,0
0.612824,0.844985,0.260428,1
0.759262,0.085969,0.576313,0
0.125505,0.592411,0.862698,1
0.781604,0.106788,0.805176,1
0.711863,0.325,0.48836,1
0.84022,0.786623,0.407109,1
0.668381,0.885761,0.807727,1
0.184799,0.004144,0.29136,0
0.849132,0.551816,0.068362,0
0.637797,0.644704,0.984171,1
0.237101,0.846868,0.758581,0
0.953656,0.563754,0.752861,1
0.888757,0.241214,0.045087,0
0.027831,0.452223,0.556636,1
0.337966,0.364357,0.07645,0
0.368522,0.367836,0.320384,0
0.919653,0.388773,0.826055,1
0.03347,0.810224,0.320743,1
0.657063,0.079317,0.289271,0
0.643082,0.042123,0.276224,0
0.283362,0.321337,0.260802,0
0.773567,0.817468,0.007391,1
0.181813,0.083865,0.634303,0
0.451719,0.954718,0.767997,1
0.343473,0.594048,0.928831,1
0.404252,0.249568,0.647523,0
0.328908,0.936825,0.672035,1
0.978948,0.948291,0.503826,1
0.269613,0.764657,0.573505,0
0.582098,0.580924,0.1547,0
0.664799,0.789032,0.314241,1
0.743718,0.082229,0.487887,1
0.676288,0.416713,0.464134,0
0.666292,0.111649,0.141841,0
0.048467,0.813906,0.967202,0
0.762164,0.471023,0.289715,1
0.235666,0.863249,0.074941,1
0.444152,0.229666,0.581678,1
0.018692,0.895949,0.225458,1
0.978178,0.713374,0.849612,1
0.130078,0.313741,0.735008,1
0.425409,0.876879,0.791577,1
0.690755,0.758777,0.501291,1
0.229787,0.791035,0.484692,1
0.654256,0.55966,0.283213,0
0.789332,0.864921,0.207347,1
0.760838,0.432832,0.570438,1
0.146195,0.420045,0.393471,1
0.733794,0.128472,0.072631,0
0.005346,0.864238,0.633083,1
0.622987,0.134367,0.149007,0
0.925404,0.633727,0.318223,1
0.193374,0.601464,0.678069,1
0.466363,0.885446,0.79074,1
0.31826,0.361172,0.966226,1
0.781223,0.359692,0.74074,1
0.488181,0.8134,0.674221,1
0.677608,0.307299,0.189619,0
0.441684,0.338652,0.153357,0
0.972378,0.471608,0.946757,1
0.073064,0.624822,0.148446,0
0.510244,0.939217,0.766635,1
0.300373,0.732859,0.292955,0
0.092542,0.033687,0.596612,0
0.847091,0.270827,0.074238,0
0.57814,0.263883,0.825301,0
0.602548,0.978689,0.386906,1
0.450275,0.333657,0.740682,1
0.95848,0.889159,0.062754,1
0.828341,0.829419,0.29722,1
0.562253,0.590203,0.210298,1
0.623902,0.80694,0.235511,1
0.077759,0.309775,0.995702,1
0.573671,0.821001,0.675728,1
0.799656,0.062626,0.751148,1
0.396304,0.491825,0.773277,1
0.380965,0.836061,0.823513,1
0.665451,0.120725,0.338011,0
0.710937,0.548337,0.882509,1
0.355258,0.118013,0.805837,1
0.427807,0.801538,0.088905,0
0.622511,0.764662,0.177684,1
0.827293,0.928863,0.6721,1
0.420667,0.445372,0.578379,1
0.281418,0.401886,0.010921,0
0.522627,0.348958,0.17456,0
0.897297,0.057061,0.568402,0
0.175102,0.374234,0.685578,1
0.17576,0.774513,0.60439,1
0.53915,0.782103,0.220428,1
0.710935,0.892558,0.590039,1
0.337913,0.168411,0.933247,1
0.570311,0.944199,0.566201,0
0.293142,0.74079,0.326494,1
0.797857,0.894927,0.44299,1
0.269146,0.128561,0.57587,0
0.903076,0.180252,0.243171,0
0.962355,0.463626,0.808675,1
0.356166,0.398709,0.804897,1
0.567133,0.738142,0.313404,1
0.682311,0.879636,0.230371,1
0.620398,0.556893,0.165879,0
0.451798,0.608897,0.391207,1
0.737466,0.967108,0.165841,1
0.14735,0.409038,0.082749,0
0.872667,0.891454,0.782999,1
0.290147,0.587893,0.922924,1
0.326017,0.236322,0.994739,0
0.115948,0.225104,0.983795,1
0.782003,0.149667,0.154588,0
0.758571,0.545822,0.954757,1
0.512906,0.12059,0.136562,0
0.529644,0.219335,0.769969,1
0.11078,0.552965,0.631144,1
0.140847,0.554064,0.258202,1
0.790392,0.252935,0.475192,0
0.478056,0.458982,0.64269,1
0.608661,0.797307,0.493856,1
0.343112,0.448608,0.863276,1
0.569212,0.999869,0.516275,0
0.219191,0.286238,0.501163,0
0.839207,0.132299,0.73091,1
0.686373,0.989143,0.446917,1
0.242064,0.922139,0.383097,1
0.381102,0.025779,0.980191,1
0.823091,0.474043,0.356988,1
0.922652,0.220257,0.022205,0
0.220113,0.538507,0.590719,1
0.82475,0.091874,0.769287,1
0.2242,0.500193,0.644011,1
0.489313,0.09092,0.387331,0
0.013053,0.770458,0.451495,1
0.796243,0.431681,0.383915,1
0.905726,0.740931,0.785542,1
0.961188,0.807776,0.320229,1
0.346266,0.910979,0.620608,1
0.002847,0.38989,0.834979,1
0.890086,0.478986,0.137611,0
0.56992,0.524969,0.110761,0
0.295411,0.562283,0.977145,0
0.993963,0.361054,0.71099,1
0.101977,0.496528,0.728066,0
0.304288,0.048287,0.244455,0
0.959265,0.865094,0.82158,1
0.25497,0.656556,0.189152,1
0.135531,0.326788,0.524451,1
0.851761,0.63524,0.288418,1
0.197511,0.265557,0.238815,0
0.626624,0.949836,0.091144,1
0.446343,0.81924,0.791774,1
0.86753,0.03622,0.401182,0
0.901316,0.222755,0.788912,1
0.879314,0.978095,0.301332,0
0.304867,0.825813,0.720302,1
0.461031,0.008712,0.30379,0
0.274294,0.542633,0.850025,1
0.492446,0.941201,0.629522,1
0.760408,0.421291,0.689425,1
0.457529,0.090599,0.454724,0
0.313378,0.243629,0.515128,0
0.221711,0.81649,0.207525,1
0.642274,0.927858,0.683211,1
0.936571,0.987032,0.761854,1
0.52964,0.611876,0.111769,1
0.553051,0.74132,0.960888,1
0.1626,0.650309,0.941404,1
0.740916,0.396122,0.978988,0
0.639763,0.494112,0.246975,0
0.310585,0.454527,0.388049,1
0.382366,0.071251,0.056148,0
0.058276,0.818032,0.529799,1
0.429887,0.641596,0.610006,1
0.382897,0.57089,0.296387,1
0.221186,0.237784,0.165617,0
0.633919,0.144598,0.01638,0
0.638722,0.26338,0.135142,0
0.717916,0.523218,0.902178,1
0.594482,0.958357,0.419213,1
0.776356,0.949042,0.240668,1
0.590612,0.850704,0.189167,1
0.421573,0.485581,0.519007,1
0.723374,0.684653,0.604864,1
0.829256,0.621272,0.630974,1
0.884656,0.766146,0.417279,1
0.289348,0.319451,0.702856,1
0.277793,0.122061,0.536589,1
0.071095,0.777287,0.26038,1
0.627962,0.449574,0.63522,0
0.935156,0.154219,0.6923,1
0.838877,0.297158,0.015802,0
0.918432,0.646805,0.136092,0
0.41293,0.553398,0.405649,1
0.872852,0.108497,0.586111,0
0.230584,0.122693,0.204781,0
0.899981,0.465188,0.963403,1
0.914764,0.59862,0.577477,1
0.752846,0.26977,0.508444,0
0.566942,0.524273,0.259841,0
0.171067,0.395959,0.288448,0
0.949358,0.694125,0.28627,1
0.802628,0.872411,0.972865,0
0.995102,0.177639,0.334886,0
0.642839,0.298283,0.423017,0
0.896905,0.000485,0.407514,0
0.27028,0.915989,0.24146,1
0.440241,0.501328,0.322588,1
0.89729,0.611064,0.195297,1
0.305173,0.481593,0.668856,1
0.353986,0.641718,0.141,0
0.819363,0.475913,0.244156,0
0.774203,0.667202,0.019785,0
0.667698,0.427325,0.320848,0
0.343296,0.562335,0.775209,1
0.063656,0.097789,0.394842,0
0.708863,0.590167,0.807599,0
0.071753,0.476451,0.121824,0
0.118159,0.262848,0.774834,1
0.738769,0.018982,0.399718,0
0.686194,0.419529,0.184065,0
0.846858,0.50494,0.291861,0
0.067267,0.067061,0.973705,1
0.164879,0.368542,0.091859,0
0.958709,0.899489,0.887789,0
0.375921,0.009604,0.456199,0
0.272477,0.231027,0.431601,1
0.250035,0.831348,0.524216,1
0.250863,0.70831,0.290111,0
0.213236,0.582,0.287866,1
0.649072,0.261564,0.411429,0
0.630118,0.503315,0.687699,1
0.402784,0.575484,0.619288,1
0.585102,0.075479,0.272779,0
0.30653,0.704409,0.868835,1
0.535733,0.393046,0.492794,1
0.101347,0.782934,0.884328,1
0.364916,0.172186,0.595094,1
0.43377,0.006515,0.827949,0
0.509847,0.515644,0.652715,1
0.091119,0.271996,0.691341,1
0.347498,0.964152,0.5338,1
0.668531,0.402631,0.210585,0
0.795683,0.703407,0.990873,1
0.486319,0.8752,0.211605,1
0.047379,0.80673,0.865233,1
0.81325,0.693179,0.545038,1
0.208809,0.197745,0.235717,0
0.469759,0.927089,0.976166,1
0.891204,0.509962,0.471284,1
0.912595,0.681897,0.764002,1
0.385285,0.754874,0.605306,1
0.630045,0.816942,0.722844,1
0.623643,0.588073,0.158564,0
0.281236,0.70363,0.759994,1
0.901378,0.995742,0.789986,1
0.922793,0.766151,0.188382,1
0.276098,0.659695,0.373721,1
0.341574,0.137716,0.896977,1
0.892592,0.50228,0.598466,1
0.319204,0.321305,0.20005,0
0.90938,0.35864,0.379735,0
0.062263,0.139721,0.680668,1
0.135453,0.470649,0.33477,0
0.236786,0.523179,0.87225,1
0.182862,0.245964,0.701582,1
0.383701,0.598556,0.251289,1
0.100827,0.849785,0.798934,1
0.171078,0.999015,0.362876,0
0.357637,0.74264,0.271065,1
0.882364,0.951763,0.383537,0
0.422392,0.718336,0.076049,0
0.241501,0.94833,0.172053,1
0.194282,0.873666,0.948815,1
0.4722,0.200097,0.854285,1
0.049875,0.653216,0.993076,1
0.652203,0.355946,0.301406,1
0.098577,0.572498,0.429737,1
0.524237,0.813305,0.998772,1
0.531616,0.074813,0.60581,0
0.023137,0.777893,0.197472,1
0.65153,0.14628,0.795414,1
0.346399,0.649696,0.696762,1
0.302896,0.689836,0.617234,1
0.045775,0.91867,0.964951,1
0.491145,0.394683,0.125283,1
0.207975,0.124048,0.962024,1
0.198889,0.56783,0.512709,1
0.345705,0.71021,0.439447,1
0.856494,0.234854,0.12095,0
0.884553,0.817742,0.59917,1
0.507554,0.216397,0.142534,0
0.135057,0.107477,0.697692,1
0.502177,0.823005,0.641588,1
0.947054,0.603608,0.449741,1
0.171427,0.962481,0.367965,1
0.672662,0.807442,0.514367,1
0.042289,0.635345,0.732051,1
0.453066,0.331215,0.114277,0
0.547627,0.256836,0.513951,0
0.364334,0.211636,0.308881,0
0.034634,0.9505,0.576665,1
0.554083,0.026398,0.127616,0
0.988878,0.495608,0.242635,0
0.303033,0.757031,0.19068,1
0.392357,0.922762,0.272159,1
0.253962,0.386462,0.806052,1
0.643309,0.319997,0.484273,0
0.531649,0.793183,0.874164,1
0.74365,0.450824,0.547972,1
0.477239,0.675617,0.023226,0
0.171213,0.265886,0.127639,0
0.02291,0.318345,0.819582,1
0.241092,0.091733,0.260684,0
0.478212,0.066728,0.296638,0
0.386746,0.78094,0.12915,1
0.574097,0.003305,0.484678,0
0.454148,0.032641,0.61548,0
0.708267,0.638734,0.397498,1
0.904622,0.525164,0.353723,1
0.843513,0.173298,0.342796,1
0.265056,0.603508,0.579663,1
0.670246,0.876331,0.864799,0
0.657243,0.99398,0.975401,1
0.997284,0.460074,0.549085,1
0.492732,0.164558,0.382812,0
0.803298,0.780339,0.080464,1
0.305487,0.434213,0.635453,1
0.607524,0.97828,0.233595,1
0.581761,0.813287,0.615851,1
0.689588,0.480646,0.308991,0
0.474604,0.284386,0.578169,1
0.744468,0.127246,0.923328,1
0.291828,0.306134,0.438194,1
0.086464,0.518685,0.80305,1
0.952898,0.438498,0.540953,1
0.416758,0.774577,0.432996,1
0.587837,0.04884,0.250516,0
0.529501,0.559534,0.624255,0
0.843924,0.202417,0.475989,0
0.329686,0.399313,0.825598,1
0.705456,0.263785,0.716645,1
0.782477,0.519691,0.183863,0
0.958189,0.724845,0.295784,1
0.499399,0.728809,0.373458,0
0.777655,0.624002,0.364654,1
0.183525,0.98894,0.311253,0
0.191345,0.787272,0.615841,1
0.186573,0.441434,0.142535,0
0.705229,0.85921,0.683955,1
0.378882,0.867848,0.223065,1
0.592667,0.518877,0.712021,0
0.247672,0.085471,0.179289,1
0.709483,0.54397,0.332476,1
0.532886,0.643757,0.920468,1
0.431009,0.536305,0.245255,0
0.977739,0.387816,0.509611,1
0.247012,0.193559,0.170656,0
0.0614,0.393748,0.962979,1
0.912626,0.674997,0.74614,1
0.760475,0.925459,0.185613,1
0.469407,0.518116,0.362958,0
0.161862,0.28342,0.72653,1
0.81973,0.971816,0.210445,1
0.359614,0.720085,0.480429,1
0.913646,0.651113,0.232514,1
0.044854,0.195486,0.629117,1
0.870486,0.375251,0.117764,0
0.300694,0.303402,0.100901,0
0.821523,0.463886,0.772401,1
0.747313,0.498927,0.576258,1
0.470721,0.786732,0.364501,1
0.506793,0.84496,0.43696,1
0.49605,0.669503,0.395478,1
0.864992,0.024587,0.498385,0
0.399858,0.616177,0.366429,1
0.919581,0.467356,0.470653,1
0.931243,0.243047,0.724491,1
0.741982,0.300742,0.245585,0
0.087466,0.610115,0.043022,0
0.455053,0.480009,0.01468,0
0.149501,0.410185,0.492008,0
0.43479,0.990424,0.749975,1
0.606574,0.116396,0.535201,0
0.583766,0.005846,0.267245,0
0.248919,0.991767,0.19355,1
0.292493,0.439162,0.203593,0
0.049269,0.24664,0.974235,1
0.726658,0.988946,0.455425,1
0.399111,0.947463,0.890664,1
0.937848,0.640635,0.668554,1
0.757039,0.203749,0.070557,0
0.209622,0.337828,0.855821,1
0.329577,0.049363,0.44944,0
0.488541,0.653061,0.002016,0
0.899703,0.976282,0.042121,1
0.965188,0.497573,0.502516,1
0.445015,0.393174,0.198189,0
0.033803,0.866773,0.927294,1
0.070514,0.997882,0.131634,1
0.335692,0.987486,0.738687,1
0.036842,0.18812,0.287335,0
0.841186,0.289376,0.063182,0
0.265644,0.105328,0.367238,0
0.602914,0.869785,0.59513,0
0.262944,0.793349,0.430787,1
0.660093,0.358074,0.087579,0
0.355938,0.219237,0.01073,0
0.20671,0.749447,0.356897,1
0.937568,0.64426,0.768947,1
0.933637,0.832159,0.519636,1
0.937487,0.886904,0.430108,1
0.756657,0.02523,0.588329,1
0.818584,0.019107,0.316344,0
0.377202,0.403949,0.209273,0
0.623198,0.220028,0.42477,0
0.969474,0.781696,0.073448,1
0.425935,0.842425,0.685793,1
0.674554,0.205422,0.558852,0
0.092317,0.98899,0.152426,1
0.014214,0.740784,0.868585,1
0.759898,0.184922,0.311466,0
0.588884,0.520765,0.870251,1
0.740801,0.295015,0.041973,0
0.076702,0.115445,0.617313,0
0.95787,0.3031,0.862221,1
0.508538,0.421067,0.244452,0
0.410037,0.396904,0.449828,1
0.137677,0.318408,0.257043,0
0.503346,0.568536,0.034658,1
0.089293,0.904939,0.304303,1
0.199941,0.346302,0.540367,1
0.461764,0.157672,0.779294,1
0.46079,0.641511,0.052039,0
0.06257,0.296516,0.570185,1
0.693429,0.020005,0.896874,1
0.338435,0.15391,0.728687,1
0.722454,0.763374,0.934024,1
0.668283,0.23832,0.641845,1
0.584635,0.182204,0.144859,1
0.339898,0.924184,0.466029,1
0.565669,0.518095,0.770023,1
0.814616,0.340203,0.100836,0
0.360229,0.997742,0.339142,1
0.151641,0.067821,0.540447,0
0.831199,0.474466,0.685847,1
0.712795,0.327686,0.3677,0
0.509906,0.512587,0.343821,1
0.436749,0.80988,0.650498,0
0.327957,0.420516,0.630662,1
0.760726,0.731527,0.650619,1
0.729238,0.989793,0.819628,1
0.057606,0.36007,0.754981,1
0.83454,0.440823,0.388281,1
0.768516,0.756011,0.84477,1
0.268583,0.188584,0.128213,0
0.998462,0.77874,0.707757,1
0.199243,0.338413,0.468988,1
0.069932,0.1196,0.080909,0
0.109383,0.900568,0.680053,1
0.260622,0.435029,0.055783,1
0.875855,0.444091,0.642498,1
0.200089,0.487263,0.922801,1
0.675857,0.051006,0.173995,0
0.82975,0.881782,0.000717,0
0.220182,0.469732,0.988977,1
0.589345,0.069878,0.089272,0
0.970445,0.769355,0.865732,1
0.204372,0.921545,0.326222,0
0.365618,0.96875,0.7246,1
0.455992,0.647397,0.034367,0
0.698412,0.208387,0.806172,1
0.090161,0.806918,0.557155,1
0.276635,0.546128,0.600463,1
0.616018,0.689764,0.56471,1
0.459097,0.430436,0.817536,1
0.351964,0.14375,0.743703,1
0.112491,0.468298,0.283284,0
0.115686,0.317676,0.700337,1
0.526078,0.506505,0.342253,1
0.313406,0.899438,0.926598,1
0.445545,0.527057,0.45602,0
0.216808,0.020721,0.648026,0
0.451175,0.465557,0.33937,1
0.609319,0.083065,0.520722,0
0.551378,0.804035,0.290288,1
0.121701,0.990656,0.481161,1
0.497138,0.823445,0.264013,1
0.722852,0.190604,0.400583,0
0.717669,0.856632,0.229948,1
0.877356,0.878004,0.610385,1
0.343543,0.949786,0.131657,1
0.032845,0.652408,0.674677,1
0.456422,0.964996,0.251279,1
0.955612,0.73247,0.225896,1
0.555889,0.489936,0.263284,0
0.68055,0.663895,0.447132,1
0.520503,0.677108,0.332688,1
0.555087,0.943104,0.726394,1
0.892853,0.858082,0.851502,1
0.510466,0.526175,0.509921,1
0.491148,0.761229,0.545013,1
0.493676,0.770938,0.899517,0
0.26086,0.162794,0.328297,0
0.826694,0.775458,0.33962,1
0.452545,0.672337,0.74506,0
0.615413,0.47145,0.906273,1
0.329514,0.757772,0.433958,1
0.283931,0.94391,0.806876,1
0.705108,0.351883,0.221828,0
0.122812,0.121338,0.248338,0
0.284156,0.576662,0.325076,1
0.352103,0.664725,0.458043,1
0.337044,0.203096,0.812288,1
0.674556,0.718558,0.460719,0
0.476308,0.894707,0.844059,1
0.838581,0.650932,0.53532,1
0.00281,0.757177,0.742476,1
0.878517,0.990845,0.509298,1
0.567481,0.834404,0.273513,1
0.499106,0.731585,0.724238,1
0.934682,0.536522,0.788616,1
0.255066,0.249328,0.613307,1
0.144024,0.457361,0.491614,1
0.108285,0.026925,0.526292,0
0.784108,0.268761,0.236714,0
0.259591,0.746041,0.825303,1
0.580418,0.098809,0.746664,0
0.830399,0.470898,0.915686,1
0.007414,0.704299,0.374307,1
0.953627,0.987645,0.993873,0
0.444985,0.485482,0.080241,0
0.512423,0.606561,0.664374,1
0.875326,0.901118,0.959165,1
0.64713,0.784467,0.962003,1
0.883278,0.708664,0.307064,1
0.17955,0.222743,0.478749,0
0.927043,0.853086,0.449449,1
0.840695,0.443317,0.97833,1
0.928801,0.058563,0.83896,1
0.665134,0.50333,0.737758,1
0.404428,0.696921,0.675378,0
0.481365,0.637378,0.279098,1
0.346024,0.586189,0.078301,0
0.808938,0.557078,0.71255,1
0.410144,0.161991,0.616645,0
0.605321,0.594971,0.536517,1
0.653544,0.375472,0.975355,1
0.878804,0.71311,0.859144,1
0.410011,0.534518,0.334783,1
0.171884,0.613908,0.256008,1
0.200085,0.334335,0.043471,1
0.891415,0.75605,0.745006,1
0.918043,0.361646,0.552395,1
0.956616,0.088904,0.057465,0
0.464394,0.032812,0.928847,1
0.74593,0.78799,0.62643,1
0.322491,0.961244,0.0473,1
0.575126,0.303333,0.012271,0
0.637679,0.055766,0.784243,1
0.811821,0.529245,0.830657,1
0.890893,0.383047,0.253213,0
0.471969,0.310704,0.457661,0
0.343538,0.386503,0.279551,1
0.174481,0.906012,0.245398,1
0.86722,0.292723,0.991366,1
0.596069,0.003629,0.217546,0
0.059427,0.001781,0.762846,0
0.531041,0.5935,0.601111,1
0.976547,0.854354,0.269429,1
0.165047,0.727119,0.384872,1
0.113613,0.664451,0.598056,1
