@relation tj_stream-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute x numeric
@attribute y numeric
@attribute class {0,1}

@data
0.515617,0.319343,0
0.962735,0.391377,1
0.279647,0.720904,1
0.076111,0.169448,0
0.430106,0.734919,1
0.949934,0.309146,1
0.291247,0.621488,1
0.037608,0.192495,0
0.41951,0.761741,1
0.491471,0.633969,1
0.518858,0.43826,0
0.69363,0.224338,0
0.108732,0.092485,1
0.960423,0.218499,1
0.49522,0.637367,1
0.504431,0.586862,1
0.564657,0.734223,0
0.497632,0.710218,1
0.017479,0.229561,0
0.986991,0.433968,1
0.959813,0.208821,1
0.118579,0.063998,1
0.565246,0.734536,0
0.796717,0.232236,0
0.296416,0.690478,1
0.607774,0.715064,0
0.738168,0.212978,0
0.03892,0.119032,0
0.303422,0.692911,1
0.04978,0.189955,0
0.961982,0.457974,1
0.908552,0.212337,0
0.993835,0.512217,1
0.502876,0.614751,1
0.330846,0.74678,1
0.295238,0.603769,1
0.766933,0.228917,0
0.929255,0.200495,0
0.798724,0.226129,0
0.354491,0.707711,1
0.972226,0.215979,1
0.502952,0.467755,0
0.639094,0.717846,0
0.293749,0.76133,1
0.961383,0.497459,1
0.925514,0.219735,0
0.950136,0.217163,1
0.485559,0.378051,0
0.977019,0.218014,1
0.564859,0.739303,0
0.522573,0.711443,0
0.129271,0.140815,1
0.842467,0.205854,0
0.507876,0.524121,1
0.051764,0.226112,0
0.481531,0.615298,1
0.779415,0.181035,0
0.047117,0.234584,0
0.934034,0.217523,0
0.524033,0.473068,1
0.503887,0.298777,0
0.492798,0.489554,1
0.856964,0.189519,0
0.98521,0.300753,1
0.867307,0.210886,0
0.703261,0.243716,0
0.60882,0.735555,0
0.955448,0.526853,1
0.371847,0.74974,1
0.272151,0.732587,1
0.023259,0.142006,0
0.981622,0.328564,1
0.511718,0.507666,1
0.508133,0.532312,1
0.446068,0.754904,1
0.033347,0.182089,0
0.953973,0.179288,1
0.335104,0.736007,1
0.536053,0.723754,0
0.539755,0.725313,0
0.960421,0.487519,1
0.561044,0.731543,0
0.66805,0.71823,0
0.111907,0.168152,1
0.289827,0.756116,1
0.497932,0.613879,1
0.091283,0.174756,0
0.461209,0.756105,1
0.951424,0.24552,1
0.730131,0.256449,0
0.508196,0.334995,0
0.48143,0.301338,0
0.110946,0.101952,1
0.911932,0.217376,0
0.284254,0.65927,1
0.281326,0.74044,1
0.549439,0.732908,0
0.492783,0.563781,1
0.493306,0.400415,0
0.273197,0.710758,1
0.522719,0.538946,1
0.508008,0.40297,0
0.725984,0.2143,0
0.048846,0.143127,0
0.505018,0.4756,1
0.011303,0.171696,0
0.772052,0.203776,0
0.688627,0.2758,0
0.709536,0.249524,0
0.432152,0.729921,1
0.950742,0.230647,1
0.765274,0.182699,0
0.969771,0.223171,1
0.69259,0.193998,0
0.992612,0.406485,1
0.018344,0.128056,0
0.394869,0.760983,1
0.113325,0.119045,1
0.046051,0.138594,0
0.979586,0.456065,1
0.70536,0.216762,0
0.555353,0.755448,0
0.49019,0.428405,0
0.653548,0.721829,0
0.036189,0.235044,0
0.428656,0.722356,1
0.954124,0.233731,1
0.795008,0.205821,0
0.287994,0.680062,1
0.966499,0.362224,1
0.504608,0.562881,1
0.303567,0.619457,1
0.955414,0.285567,1
0.519001,0.365002,0
0.482188,0.730754,1
0.855284,0.225709,0
0.879225,0.178045,0
0.506803,0.370396,0
0.866589,0.222173,0
0.810334,0.212693,0
0.476172,0.577561,1
0.492847,0.713002,1
0.288858,0.645296,1
0.523957,0.407881,0
0.825531,0.177356,0
0.502721,0.603673,1
0.74927,0.234722,0
0.651325,0.751673,0
0.963022,0.27885,1
0.139584,0.134538,1
0.757199,0.218625,0
0.503839,0.760357,0
0.960209,0.347328,1
0.964987,0.40789,1
0.477653,0.757988,1
0.998267,0.245315,1
0.711537,0.223134,0
0.642095,0.719112,0
0.595377,0.718038,0
0.319463,0.75693,1
0.769244,0.185067,0
0.693369,0.243187,0
0.849767,0.208201,0
0.298708,0.624208,1
0.958336,0.435953,1
0.593963,0.728603,0
0.049266,0.222823,0
0.502635,0.638655,1
0.849428,0.195628,0
0.491726,0.440815,0
0.478371,0.399819,0
0.996742,0.275093,1
0.921802,0.206101,0
0.91139,0.209591,0
0.5223,0.597947,1
0.728419,0.210709,0
0.416067,0.733308,1
0.132002,0.169071,1
0.967253,0.311014,1
0.695418,0.248907,0
0.891012,0.197321,0
0.323524,0.737187,1
0.622133,0.710496,0
0.500086,0.61395,1
0.706634,0.284437,0
0.964432,0.202469,1
0.494666,0.322117,0
0.477215,0.362838,0
0.283229,0.619295,1
0.482158,0.527939,1
0.877009,0.198216,0
0.494202,0.431909,0
0.139789,0.121919,1
0.989715,0.25337,1
0.155251,0.121617,1
0.993121,0.441278,1
0.381321,0.750813,1
0.900212,0.182384,0
0.734601,0.214502,0
0.491696,0.350682,0
0.104623,0.13468,0
0.491555,0.556218,1
0.494165,0.726568,1
0.495599,0.47056,1
0.582906,0.710844,0
0.26797,0.744412,1
0.963248,0.181088,1
0.477837,0.32852,0
0.095834,0.127908,0
0.85961,0.181488,0
0.513225,0.724713,0
0.477509,0.725974,1
0.499305,0.737167,1
0.32238,0.7444,1
0.354243,0.70693,1
0.757143,0.231955,0
0.791013,0.186552,0
0.084262,0.163495,0
0.145071,0.072509,1
0.548251,0.756672,0
0.761807,0.195028,0
0.488532,0.5791,1
0.504135,0.406092,0
0.311102,0.694283,1
0.720807,0.217746,0
0.84814,0.211706,0
0.143084,0.11713,1
0.478661,0.753378,1
0.559136,0.753764,0
0.984589,0.304911,1
0.971181,0.334524,1
0.84297,0.186727,0
0.518153,0.381524,0
0.822917,0.197357,0
0.499845,0.410089,0
0.482204,0.578066,1
0.060394,0.132502,0
0.99218,0.434349,1
0.553343,0.720326,0
0.476272,0.645986,1
0.516077,0.3298,0
0.970776,0.333377,1
0.760378,0.228677,0
0.999015,0.525633,1
0.973699,0.210224,1
0.281758,0.675153,1
0.283156,0.701091,1
0.575214,0.70951,0
0.9523,0.28647,1
0.015972,0.227958,0
0.851353,0.232978,0
0.036744,0.188071,0
0.983994,0.231745,1
0.390868,0.746834,1
0.532338,0.734246,0
0.779054,0.214801,0
0.147514,0.111217,1
0.778213,0.202484,0
0.695831,0.218658,0
0.972332,0.491881,1
0.041948,0.212898,0
0.021116,0.146364,0
0.269456,0.611413,1
0.729667,0.25702,0
0.676742,0.715404,0
0.435546,0.707724,1
0.458301,0.717882,1
0.279081,0.716801,1
0.86091,0.209148,0
0.382298,0.732516,1
0.731097,0.269015,0
0.96668,0.358065,1
0.526445,0.72312,0
0.665364,0.716841,0
0.511901,0.294704,0
0.295522,0.590821,1
0.28294,0.628892,1
0.978769,0.299487,1
0.435504,0.759603,1
0.692893,0.264517,0
0.504111,0.438377,0
0.391481,0.709584,1
0.971892,0.230892,1
0.476838,0.31032,0
0.100755,0.138763,0
0.812329,0.188498,0
0.524445,0.303398,0
0.283469,0.756849,1
0.50151,0.531477,1
0.700666,0.247224,0
0.579137,0.751003,0
0.063251,0.151621,0
0.485573,0.450882,0
0.71785,0.271031,0
0.886613,0.212741,0
0.803308,0.209442,0
0.972737,0.445661,1
0.520866,0.626118,1
0.308409,0.628664,1
0.455169,0.737394,1
0.434255,0.737451,1
0.013345,0.175876,0
0.377595,0.706421,1
0.972043,0.387373,1
0.955803,0.216397,1
0.120595,0.176316,1
0.426333,0.744099,1
0.519846,0.544239,1
0.334459,0.753494,1
0.102322,0.140939,0
0.504029,0.367682,0
0.734957,0.272986,0
0.96321,0.266781,1
0.740138,0.204638,0
0.977358,0.304494,1
0.521488,0.456059,0
0.73263,0.178744,0
0.011036,0.181421,0
0.835863,0.190028,0
0.013297,0.170465,0
0.642582,0.757401,0
0.506994,0.741186,0
0.006942,0.207152,0
0.112355,0.128923,1
0.465511,0.732285,1
0.365597,0.745173,1
0.733176,0.26749,0
0.793697,0.193959,0
0.123027,0.070467,1
0.918459,0.177873,0
0.863937,0.203738,0
0.960181,0.50458,1
0.519966,0.625046,1
0.29367,0.615001,1
0.546636,0.737117,0
0.999467,0.366795,1
0.157763,0.08198,1
0.481639,0.589589,1
0.909774,0.202683,0
0.370356,0.710996,1
0.476407,0.762271,1
0.325128,0.743981,1
0.991942,0.265378,1
0.995479,0.180562,1
0.508962,0.403752,0
0.457346,0.761024,1
0.961638,0.312667,1
0.282529,0.699637,1
0.897407,0.211317,0
0.107052,0.120607,1
0.480703,0.41018,0
0.741768,0.210776,0
0.996263,0.278482,1
0.985135,0.51407,1
0.783501,0.21842,0
0.576733,0.734034,0
0.964869,0.246614,1
0.505773,0.525172,1
0.305287,0.737548,1
0.72774,0.287748,0
0.978269,0.514056,1
0.1451,0.09091,1
0.522404,0.385949,0
0.71506,0.246302,0
0.275209,0.695408,1
0.038693,0.178912,0
0.051636,0.230811,0
0.51401,0.40688,0
0.39619,0.75765,1
0.850656,0.195752,0
0.708502,0.253135,0
0.155053,0.113074,1
0.625862,0.716735,0
0.996392,0.306261,1
0.728911,0.234743,0
0.387445,0.750996,1
0.518613,0.502083,1
0.507705,0.592629,1
0.99767,0.394485,1
0.968422,0.33255,1
0.961105,0.382055,1
0.953653,0.229365,1
0.803153,0.190212,0
0.316586,0.763572,1
0.025375,0.170562,0
0.508493,0.316702,0
0.050997,0.123234,0
0.844223,0.219248,0
0.485335,0.713881,1
0.957071,0.504951,1
0.476223,0.494042,1
0.409139,0.711786,1
0.481085,0.421939,0
0.524021,0.3552,0
0.507407,0.367382,0
0.990607,0.448161,1
0.991856,0.466205,1
0.748814,0.197679,0
0.628209,0.737616,0
0.492551,0.402784,0
0.956241,0.253259,1
0.509381,0.567135,1
0.977266,0.46911,1
0.105004,0.16272,0
0.595984,0.729937,0
0.383181,0.754779,1
0.514271,0.462557,0
0.038452,0.202596,0
0.523673,0.471111,1
0.903504,0.212393,0
0.761213,0.216478,0
0.492327,0.424494,0
0.524146,0.555227,1
0.411696,0.737668,1
0.14677,0.071986,1
0.991483,0.521836,1
0.866749,0.21346,0
0.118304,0.122605,1
0.114316,0.134304,1
0.422065,0.737164,1
0.977643,0.407389,1
0.956663,0.244341,1
0.01087,0.211689,0
0.859193,0.184973,0
0.523154,0.536418,1
0.981568,0.25783,1
0.485624,0.629102,1
0.495604,0.626476,1
0.34545,0.727909,1
0.661962,0.74556,0
0.725266,0.205661,0
0.861868,0.205174,0
0.30076,0.673001,1
0.275525,0.730919,1
0.924948,0.178038,0
0.860778,0.198298,0
0.152225,0.169999,1
0.963914,0.38539,1
0.653935,0.72254,0
0.423682,0.729836,1
0.913875,0.210472,0
0.331984,0.729008,1
0.915652,0.20641,0
0.47939,0.612848,1
0.654101,0.747281,0
0.79305,0.220889,0
0.982569,0.206753,1
0.522939,0.350155,0
0.389065,0.759667,1
0.996692,0.298264,1
0.520565,0.472114,1
0.384456,0.709743,1
0.500142,0.392255,0
0.32894,0.724272,1
0.002919,0.168073,0
0.524783,0.547457,1
0.994347,0.199014,1
0.027001,0.149885,0
0.492708,0.529936,1
0.540115,0.74674,0
0.304544,0.682437,1
0.910284,0.213622,0
0.77828,0.184339,0
0.14597,0.101741,1
0.631275,0.710737,0
0.499798,0.63307,1
0.463571,0.713487,1
0.500187,0.728313,0
0.123871,0.161643,1
0.511463,0.632801,1
0.499588,0.743328,1
0.02898,0.218594,0
0.810262,0.226157,0
0.525373,0.472663,1
0.990545,0.341056,1
0.820769,0.223084,0
0.115096,0.074274,1
0.29734,0.735445,1
0.888214,0.219802,0
0.503621,0.74915,0
0.032438,0.219434,0
0.886254,0.230611,0
0.482577,0.577326,1
0.695152,0.214218,0
0.565749,0.727735,0
0.980328,0.238278,1
0.97981,0.497676,1
0.959453,0.348616,1
0.889522,0.193496,0
0.980808,0.3052,1
0.371029,0.736566,1
0.851101,0.229669,0
0.742527,0.225698,0
0.451308,0.732358,1
0.550902,0.758511,0
0.155985,0.063718,1
0.355437,0.750377,1
0.478779,0.706543,1
0.40398,0.745765,1
0.507835,0.306102,0
0.287367,0.737837,1
0.337465,0.735678,1
0.522599,0.746736,0
0.476188,0.598863,1
0.733779,0.223916,0
0.508257,0.37079,0
0.384232,0.756115,1
0.026468,0.204097,0
0.575038,0.760022,0
0.283609,0.736077,1
0.737173,0.1793,0
0.485883,0.645862,1
0.49559,0.378486,0
0.912226,0.217812,0
0.956689,0.447118,1
0.513583,0.368146,0
0.979722,0.502615,1
0.951048,0.246562,1
0.043667,0.152066,0
0.753622,0.19993,0
0.271675,0.631318,1
0.597001,0.728232,0
0.865334,0.17865,0
0.908864,0.222307,0
0.839394,0.178477,0
0.5144,0.419968,0
0.479609,0.494744,1
0.506144,0.31768,0
0.686363,0.276885,0
0.513618,0.44614,0
0.476225,0.501084,1
0.985678,0.271452,1
0.292604,0.647746,1
0.280282,0.729507,1
0.296403,0.720419,1
0.682426,0.71638,0
0.263245,0.652269,1
0.709033,0.271116,0
0.998653,0.308119,1
0.97095,0.442204,1
0.123535,0.076679,1
0.947491,0.317983,1
0.96681,0.331826,1
0.712002,0.217628,0
0.481945,0.522641,1
0.954647,0.393273,1
0.477311,0.442048,0
0.70172,0.19681,0
0.157513,0.105307,1
0.570493,0.761019,0
0.854555,0.1952,0
0.480528,0.645244,1
0.50492,0.730264,0
0.690528,0.192172,0
0.484951,0.56967,1
0.869747,0.179978,0
0.36877,0.716774,1
0.488099,0.718439,1
0.101316,0.147291,0
0.954401,0.26406,1
0.519998,0.740071,0
0.617527,0.710673,0
0.325678,0.723588,1
0.494908,0.620797,1
0.888494,0.196562,0
0.39692,0.739586,1
0.950171,0.345877,1
0.923509,0.227599,0
0.979292,0.49358,1
0.509599,0.455814,0
0.495539,0.380451,0
0.521262,0.361904,0
0.985206,0.34285,1
0.971922,0.513058,1
0.073586,0.145416,0
0.046771,0.233252,0
0.021064,0.164169,0
0.487184,0.445687,0
0.051537,0.180912,0
0.023438,0.214573,0
0.480246,0.347062,0
0.627353,0.733025,0
0.43384,0.719132,1
0.513067,0.401984,0
0.677724,0.740457,0
0.029282,0.19096,0
0.37954,0.705973,1
0.857793,0.232652,0
0.051747,0.162331,0
0.124139,0.149305,1
0.510702,0.549496,1
