x,y,class
0.515616915,0.319343245,0
0.962734842,0.391376775,1
0.279647164,0.720903739,1
0.076110515,0.169447691,0
0.430106241,0.734919123,1
0.949933567,0.309146231,1
0.291246638,0.621488281,1
0.037607684,0.192495151,0
0.419509643,0.761740958,1
0.49147096,0.633968783,1
0.518857675,0.438260495,0
0.693629917,0.224338271,0
0.108731982,0.092484581,1
0.96042299,0.218499058,1
0.495220188,0.637366582,1
0.504430897,0.586862114,1
0.56465667,0.734222985,0
0.497631572,0.710218062,1
0.017478909,0.229560651,0
0.986990773,0.433968383,1
0.95981291,0.208820957,1
0.118579225,0.063998072,1
0.56524565,0.734535674,0
0.796717377,0.232235594,0
0.296415843,0.690477769,1
0.60777364,0.715063559,0
0.738167542,0.212977683,0
0.038919896,0.11903234,0
0.303422154,0.692910796,1
0.049780264,0.189954687,0
0.961981889,0.457974365,1
0.908552415,0.212336592,0
0.993834659,0.51221727,1
0.502876353,0.614750719,1
0.330845978,0.746779745,1
0.295238474,0.603768668,1
0.766933414,0.228917079,0
0.929254772,0.200494746,0
0.798724217,0.226128846,0
0.354491097,0.707710781,1
0.972225535,0.215978528,1
0.502952038,0.467755484,0
0.639093923,0.717846206,0
0.293749454,0.761330261,1
0.961383445,0.497458844,1
0.92551355,0.219734947,0
0.950136474,0.217163055,1
0.485559092,0.378051056,0
0.977018646,0.218013685,1
0.564858536,0.739303389,0
0.522572862,0.711443054,0
0.129271429,0.140814557,1
0.842466754,0.205853876,0
0.507875893,0.524120867,1
0.051764319,0.226112459,0
0.481530618,0.615297686,1
0.77941541,0.181034978,0
0.047117363,0.234583951,0
0.934033625,0.217522582,0
0.524033368,0.473067819,1
0.503887188,0.298776804,0
0.492798127,0.489554403,1
0.856964389,0.189519367,0
0.985209767,0.300753457,1
0.867307383,0.210885603,0
0.703260741,0.243716291,0
0.608819908,0.735555011,0
0.955448114,0.526852973,1
0.371847382,0.749740057,1
0.272150937,0.732587313,1
0.023258679,0.142006268,0
0.981622382,0.328564363,1
0.511717907,0.507666284,1
0.50813289,0.532312126,1
0.446067747,0.754904319,1
0.033347041,0.182088746,0
0.953972602,0.179288369,1
0.335104317,0.736007437,1
0.536052725,0.723754069,0
0.539754881,0.725313229,0
0.960421151,0.48751863,1
0.561044046,0.731543072,0
0.668050298,0.718229657,0
0.111906517,0.168152124,1
0.289826997,0.756116191,1
0.497932071,0.613878963,1
0.091282859,0.174755632,0
0.461208978,0.756105334,1
0.951423636,0.245520109,1
0.730131085,0.256448861,0
0.508195832,0.334994624,0
0.481430044,0.301337673,0
0.110945735,0.101952299,1
0.911932293,0.217376025,0
0.284253609,0.659269629,1
0.281326326,0.740440179,1
0.549439182,0.732907871,0
0.492782801,0.563780658,1
0.493306322,0.400414527,0
0.273197101,0.710758421,1
0.522719362,0.538945943,1
0.508007581,0.402970377,0
0.725983733,0.214300306,0
0.048845917,0.143127182,0
0.505018091,0.475600131,1
0.011303275,0.171695567,0
0.772051536,0.203775676,0
0.688626647,0.27579998,0
0.709535597,0.249523527,0
0.432151642,0.729920951,1
0.950742334,0.230646656,1
0.76527353,0.18269898,0
0.969770579,0.223170822,1
0.692590091,0.193998119,0
0.992611706,0.4064854,1
0.018344496,0.12805619,0
0.394868717,0.760983027,1
0.113325214,0.119044648,1
0.046051315,0.138594227,0
0.979586109,0.456065124,1
0.705359972,0.216761989,0
0.555352697,0.755447683,0
0.490190366,0.428405243,0
0.653547909,0.72182931,0
0.036188859,0.23504441,0
0.428656257,0.722355583,1
0.954124141,0.233731275,1
0.79500798,0.205820909,0
0.287993705,0.680062485,1
0.966499215,0.362224397,1
0.50460831,0.562880667,1
0.303567412,0.619456725,1
0.955414352,0.285567371,1
0.519001014,0.365001738,0
0.482188236,0.730753779,1
0.855284398,0.225708654,0
0.879225492,0.178044678,0
0.506803018,0.370396454,0
0.866589394,0.222173489,0
0.810333647,0.212693435,0
0.476172252,0.577560802,1
0.492847043,0.713001578,1
0.288858414,0.645295964,1
0.523957486,0.407880834,0
0.825530729,0.177356156,0
0.502720777,0.603672503,1
0.749270208,0.234721626,0
0.651324635,0.751672976,0
0.96302223,0.278849524,1
0.139584405,0.134537667,1
0.757199105,0.218625422,0
0.503838782,0.760357057,0
0.960209358,0.347327598,1
0.964987133,0.407889784,1
0.477653244,0.7579876,1
0.998266713,0.245314637,1
0.711537363,0.223133793,0
0.642094722,0.719111748,0
0.595376682,0.718037766,0
0.319462747,0.756930096,1
0.769243811,0.185067298,0
0.693368853,0.243186707,0
0.849766626,0.208200731,0
0.298707662,0.62420842,1
